sample_id,group_id,split,label,dataset,image,sha256,bytes,width,height,seatbelt_state,confound_note
007-negative,007,calibration,0,passenger_unbelted_nonsmoking_100,007.jpg,2d9eddd68fba02bc074b1ea98b34faef97c9a4a7773226924434cc7e080ac0fa,488475,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
008-positive,008,calibration,1,passenger_smoking_100,008.jpg,2a15b086af915af5b3bf804af949b43a9108d53d6749ec9ebd6cef7e96d45e42,415873,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
008-negative,008,calibration,0,passenger_unbelted_nonsmoking_100,008.jpg,d9ae7a3787b14aacb7f622e62959ee2400005f63629918e88bcf63643f7f4a89,450057,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
009-positive,009,calibration,1,passenger_smoking_100,009.jpg,64350bc8fec3d80113c35643fdd7b7ef020df128a72a0e3b06a5176c759c3d16,449034,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
009-negative,009,calibration,0,passenger_unbelted_nonsmoking_100,009.jpg,47b1366003b4662976a7071218a203314afc4d3beada2aa3f4653dbd9015ba9b,535129,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
010-positive,010,calibration,1,passenger_smoking_100,010.jpg,d5f83d5cc88f42ffcb52178cd385a0d7a6601e24c0eef9a7507b8f68be4e2a25,442429,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
010-negative,010,calibration,0,passenger_unbelted_nonsmoking_100,010.jpg,0bbf13112f54a93900ab3b2450d02ae04af47575c65b58ffc8ef56e4019c69a9,438124,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
011-positive,011,test,1,passenger_smoking_100,011.jpg,14c59cf5e1e373b5b634a51cacc0b0939f1282711e7b4de951344ba13f653304,470265,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
011-negative,011,test,0,passenger_unbelted_nonsmoking_100,011.jpg,afccdb76eae53d53160e6148819a3224559f8e9152b7bb51210d5f40dc14396a,428940,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
012-positive,012,calibration,1,passenger_smoking_100,012.jpg,858bf2624b5351e071cd2b3700e9a589efeb1c95ba0c0fec3e61c39f78f6ae7b,460679,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
012-negative,012,calibration,0,passenger_unbelted_nonsmoking_100,012.jpg,c6a6ad023caf7ad23e5eb52fa8f8cadb41f5ffe8ce8062a456d549208ebc5a2b,428930,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
013-positive,013,calibration,1,passenger_smoking_100,013.jpg,6ff59bdda0977f53550b65fc98fdecff3cccf08e11e80ed0ca0d8952f61b8ffd,464170,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
013-negative,013,calibration,0,passenger_unbelted_nonsmoking_100,013.jpg,cd88fa29dc864b6643d6a56be9ec34bbb737660f76ae2b38c35d6083ed974ebb,442893,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
014-positive,014,calibration,1,passenger_smoking_100,014.jpg,cfccdd74f0e7092beeba604d429388aeadde1c376eb287c2864365df9ad87a71,469606,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
014-negative,014,calibration,0,passenger_unbelted_nonsmoking_100,014.jpg,626b12dd270baffb6a75513de2454047cbd3886993744de05924842dd8915e0e,414254,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
015-positive,015,calibration,1,passenger_smoking_100,015.jpg,ed55b0fa148fba1b7a4fef3c71321aafecbe94e2ac140c0c867a75e236445787,390544,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
015-negative,015,calibration,0,passenger_unbelted_nonsmoking_100,015.jpg,bb18331668b258ae39b970eea783bc7bf9c4075d70f3ddb2d767727edd63477c,441198,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
016-positive,016,calibration,1,passenger_smoking_100,016.jpg,e142ad5908f643fc94ab3e535bc5bb8a3a05dcfb0ba7cbb9a81bbce2b8f4d2da,416040,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
016-negative,016,calibration,0,passenger_unbelted_nonsmoking_100,016.jpg,1a81153012fda72b1eacc623e276842b98c6418557be5dcac13f42538b010c81,482053,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
017-positive,017,test,1,passenger_smoking_100,017.jpg,16bd427affab58a78d1801499090d97b8a75b975927f06a8da6fb3d8e2ba9343,465528,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
017-negative,017,test,0,passenger_unbelted_nonsmoking_100,017.jpg,16fcee42e083bc6110f4797e8a86711ad7e4165bbf28d2e2315a879ded974125,449202,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
018-positive,018,calibration,1,passenger_smoking_100,018.jpg,b1adf1587be1cf07290908b39a43acd3127a77fa28c159ec8ab49be84b816287,405596,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
018-negative,018,calibration,0,passenger_unbelted_nonsmoking_100,018.jpg,9a78886fdbf30a31838f2d5a9583705018cbec2698f468a45ef51d4cf1af6fa5,416363,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
019-positive,019,calibration,1,passenger_smoking_100,019.jpg,ddcb3c12d738b897e327032c7de2b460e9d24f94b6e20130c43df1697be26f3d,422829,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
019-negative,019,calibration,0,passenger_unbelted_nonsmoking_100,019.jpg,6232b16deb96192cdfb5d55699e0e4126e5c9507d46bf74599bd9d7fb93973d4,420468,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
020-positive,020,test,1,passenger_smoking_100,020.jpg,15d4a5c2ad07cd0b024621b3cd80ce1090a17427bb4b0e0754bac468e7ea0e76,520777,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
020-negative,020,test,0,passenger_unbelted_nonsmoking_100,020.jpg,24c185290a222428bbe3383987d1486b25aa22d0dd5c06a47adef07129b519c3,509977,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
021-positive,021,calibration,1,passenger_smoking_100,021.jpg,e5b46543f09a828e18993b22f1a4ced2573625a352ae9e3f884c41d77a2a3fb6,410051,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
021-negative,021,calibration,0,passenger_unbelted_nonsmoking_100,021.jpg,b97e9bfd6a503ec8e65c221ab147f230951626538667e0c3f4276b748ee8b9d7,494186,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
022-positive,022,calibration,1,passenger_smoking_100,022.jpg,903f186b8dea99845f2ab63da20cac16f010fb340c66813e3acb961f72fccb2d,517075,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
022-negative,022,calibration,0,passenger_unbelted_nonsmoking_100,022.jpg,d179025cd68176c0e0b55b8b693fba9c8dd9fe2946f22f957e01364837c73950,439733,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
023-positive,023,test,1,passenger_smoking_100,023.jpg,2c1ec8d6ea9ce27eb581c8b8ea26c74205458986383f7fdc489f0a6bb168afe3,376701,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
023-negative,023,test,0,passenger_unbelted_nonsmoking_100,023.jpg,983f0c47fc3e567d71ad28db4d41d6919fb7393a597d7f5c68bc90fd1e1be205,448987,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
024-positive,024,calibration,1,passenger_smoking_100,024.jpg,eaa6bb319945f4874298f2ab4575c68da9d4485b5313e16a4961d3b6c759a2b7,502521,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
024-negative,024,calibration,0,passenger_unbelted_nonsmoking_100,024.jpg,7ca930dcf676b7619ec28a1b434d1906fc0bdff1cb94a53547ccdba87b5afb6f,422130,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
025-positive,025,calibration,1,passenger_smoking_100,025.jpg,95ec6b3d9f59d36eeb09452173f1eefdb6ad869b4232cf35a47c07981c854285,472144,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
025-negative,025,calibration,0,passenger_unbelted_nonsmoking_100,025.jpg,c170cce2fac9d1a20377d8238eb877da4d247482debd31cff3e920dccf12244c,454792,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
026-positive,026,calibration,1,passenger_smoking_100,026.jpg,6f54e50f6c70aacc7b09300064a8d1c35ce048857a5e38ce61bfec4b19b476ca,432195,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
026-negative,026,calibration,0,passenger_unbelted_nonsmoking_100,026.jpg,5786fe56ca1840eac8e2493e810611a4ed4ae6339a45c7fa31019bbe8cb89f46,385535,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
027-positive,027,test,1,passenger_smoking_100,027.jpg,6603819ea84eca6f157f9ed3c43092309cff19d80c76bec19020d6de79ad5f44,397101,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
027-negative,027,test,0,passenger_unbelted_nonsmoking_100,027.jpg,36e2000f65187b8b28a87b85732fa78a94c4689b79cc81311f297ff09331ee9c,401318,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
028-positive,028,test,1,passenger_smoking_100,028.jpg,d2bc90a413cad89c2a38c340a571c69dae06dbda03119a82991ba2e203fb3b7e,480771,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
028-negative,028,test,0,passenger_unbelted_nonsmoking_100,028.jpg,879713f04b91364023b47301f272941cf37afdf94a1ca84aeac5690139d75712,458275,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
029-positive,029,calibration,1,passenger_smoking_100,029.jpg,e3208bf47f8fa56e396b277e7882d95d2ed2012c1ef3520bf8367da277621711,427235,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
029-negative,029,calibration,0,passenger_unbelted_nonsmoking_100,029.jpg,fc2de00e45ae9ebb4e5659c6f9d565b6448dc4e399101fe8c7c11d0dd5c16f74,474881,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
030-positive,030,calibration,1,passenger_smoking_100,030.jpg,fbc245f4b01f8bf5881f3e4176ad619dbbac0a24cc8bbdbff3f6615a6f7c1b62,468874,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
030-negative,030,calibration,0,passenger_unbelted_nonsmoking_100,030.jpg,736d8a363dcdd41fbca5cb45f012f72232aa8388f28bee2de72f4c085ef771b1,401457,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
031-positive,031,calibration,1,passenger_smoking_100,031.jpg,fcc3c1a2dde5b41c229c3de12270e8fa2d03f2545830c5e5c7e39c2e380c3166,425170,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
031-negative,031,calibration,0,passenger_unbelted_nonsmoking_100,031.jpg,6389502b6f77eadd41742ebc58530b9dc0d0d556b6995218204ac0ce67ace30e,429681,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
032-positive,032,calibration,1,passenger_smoking_100,032.jpg,947ee77f73e89266ddc7f4cd161c444711ba153891961598f3b07806883ff08a,414921,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
032-negative,032,calibration,0,passenger_unbelted_nonsmoking_100,032.jpg,32f158cb45aa40fc84d5eb9b5e6222d3f84cd58071091ad6b500725d88fbdb21,472312,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
033-positive,033,calibration,1,passenger_smoking_100,033.jpg,cfbcdf0d6109b153b028aba0a113d35256e3e7a5980e95240723750136b5da27,391431,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
033-negative,033,calibration,0,passenger_unbelted_nonsmoking_100,033.jpg,f9676c07af24dd0745e13113136be4b778bda90fb8e215bb1234871202c32d36,378488,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
034-positive,034,test,1,passenger_smoking_100,034.jpg,7ca225d2b800d6e9dd3c1c6173ce13e6d6a82b180ffa9419804b39c552cda907,436349,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
034-negative,034,test,0,passenger_unbelted_nonsmoking_100,034.jpg,13aae1bc2f1dbc389df0a5bdcc6bdafb6983af5798bccbe3de7262249157539a,432438,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
035-positive,035,calibration,1,passenger_smoking_100,035.jpg,3d9a6ef2d05571a79324ada34ef4ac4f82257c7de522d3a2e256e045fbc1f916,398771,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
035-negative,035,calibration,0,passenger_unbelted_nonsmoking_100,035.jpg,d0809fb31cd7db723d4c5ed2dbeb1d376a794d6b9402fde6dda186173956534c,408788,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
036-positive,036,calibration,1,passenger_smoking_100,036.jpg,4bd752c57f0eef8f223b3eaa73726355cf8e0e0f4aa123997cd0e9206bed2d39,484770,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
036-negative,036,calibration,0,passenger_unbelted_nonsmoking_100,036.jpg,20a9c10a819c943effdd9e551f47a8f295734480dde03a73286fc2dfe427c108,422758,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
037-positive,037,calibration,1,passenger_smoking_100,037.jpg,787b3fb1e9a023a9d9f68eb590632dfde1a56f5039c26f6167f01c776ffdb3da,405088,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
037-negative,037,calibration,0,passenger_unbelted_nonsmoking_100,037.jpg,58dfed478734b0ba61edfbc8c18e9df5a17347ee6615723e84a9b2119c7dcb54,459019,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
038-positive,038,test,1,passenger_smoking_100,038.jpg,0032b128d72698543a213acd6e3c9bf738e8d47e76ba58e7a439456a39255288,445166,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
038-negative,038,test,0,passenger_unbelted_nonsmoking_100,038.jpg,3db52ebb02556a262dd4751913c6f6e33c32e99da36c0fd8e88e459e8d406a50,400828,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
039-positive,039,test,1,passenger_smoking_100,039.jpg,6d12e966481f719ee3521d58a62a2d468b6d429c42d24c817adc9ac8909a84d7,366402,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
039-negative,039,test,0,passenger_unbelted_nonsmoking_100,039.jpg,201210d70d705c3b1570c2bedaeaade862d0f378afb4c3f1cc69e16fdc521a8a,388234,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
040-positive,040,calibration,1,passenger_smoking_100,040.jpg,c9e0a033e9d8ee0c8f97ddd3de10f3727ced354565308aad0b9f7a174b78b38f,431289,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
040-negative,040,calibration,0,passenger_unbelted_nonsmoking_100,040.jpg,961ea0a0323d088d9cf4b9c98172b2bf0ddf5ca1676361dcfd4af5b7c4900481,451041,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
041-positive,041,test,1,passenger_smoking_100,041.jpg,a8df4c4fc8920a027822c856dd17d606327ef5c8b68dbf212e9fa85c9154f59f,411878,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
041-negative,041,test,0,passenger_unbelted_nonsmoking_100,041.jpg,0c928a1c797ba77a2591ee427914232b0584b35f058ea311ea9430d50580fd42,381335,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
042-positive,042,calibration,1,passenger_smoking_100,042.jpg,cea424b4b7db62cec3b635d69c771f406f2294c7ca382341a5ddb6624b98f076,415864,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
042-negative,042,calibration,0,passenger_unbelted_nonsmoking_100,042.jpg,09bb40a566da09bbf407bb7ff0f21e31faec91495740a5acc8374b880229acd4,396415,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
043-positive,043,calibration,1,passenger_smoking_100,043.jpg,b036a3a07a4c8ecbe9ae62bfb69b91a81b8fc51b442b0ecf21a5640f8226de05,416530,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
043-negative,043,calibration,0,passenger_unbelted_nonsmoking_100,043.jpg,ebc64e0272dfd8d77fe4a0ef1f98a9f05c9a74f32f3804b4f6cf082d016182d3,400622,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
044-positive,044,test,1,passenger_smoking_100,044.jpg,ea00f4d225af5f5dc82eb753a7247aa66d21129a09a7a057657b2d17aa1122c0,462563,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
044-negative,044,test,0,passenger_unbelted_nonsmoking_100,044.jpg,7efd049852da591a6696626dc6b09c57301e969d71574d3498deb33a86c0e1fa,368032,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
045-positive,045,calibration,1,passenger_smoking_100,045.jpg,5fbeabf99b1a566123df341be191e80ca77ef076d7ca5f3dce041ba62fe2419a,508649,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
045-negative,045,calibration,0,passenger_unbelted_nonsmoking_100,045.jpg,ff8f1002064c5ba33a5141ba80555af23761137547998d9ec134f61dfea15f8c,586000,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
046-positive,046,calibration,1,passenger_smoking_100,046.jpg,59a3f329bda4dc3cac906f766f04dcad11087185fdeefd309cf03b7e60a26e4c,495343,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
046-negative,046,calibration,0,passenger_unbelted_nonsmoking_100,046.jpg,657a1553198096efdda6c5e3538a64b293cfc65667d71b8f9f5de61b39ecb131,360741,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
047-positive,047,calibration,1,passenger_smoking_100,047.jpg,71e6d55450dc3fd1dc10c8d905e989260068c96b2a08c17afee816dfe94dbe83,423778,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
047-negative,047,calibration,0,passenger_unbelted_nonsmoking_100,047.jpg,ef9abb0ac5c12f2c72af77b80460ecc1ab37214a2b3817026098823440e90567,472449,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
048-positive,048,calibration,1,passenger_smoking_100,048.jpg,b55d06308d14152d381e552e60c84abb8ecdd0d6fce57c69e520e78a39a81f63,428170,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
048-negative,048,calibration,0,passenger_unbelted_nonsmoking_100,048.jpg,a1b64a6dc87725b6182fb9974851f29b0fe52e8fbac0521c7d9bc944d02d6fc2,427149,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
049-positive,049,test,1,passenger_smoking_100,049.jpg,b6b72d92181854244a16149713255e859857ba84e883813e6fc4547c853b8282,439479,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
049-negative,049,test,0,passenger_unbelted_nonsmoking_100,049.jpg,e27e261e3e343414de8e8a4466625ec5b581bc4047b9b7b36e5f2bf82d75d766,422955,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
